epoch,observed_map50,fit_at_trigger,mu_hat,phase,phase2_epoch,trigger_epoch,tau_hat_at_trigger,a_hat_at_trigger,fit_at_epoch_40,a_hat_at_epoch_40,tau_hat_at_epoch_40,fit_at_epoch_50,a_hat_at_epoch_50,tau_hat_at_epoch_50,fit_at_epoch_54,a_hat_at_epoch_54,tau_hat_at_epoch_54
1,2e-05,0.03338308699338746,0.0,1,41,54,27.994987,0.95135,0.03155266977284789,1.071033,33.441799,0.03297393987416077,0.971339,28.9549,0.03338308699338746,0.95135,27.994987
2,2e-05,0.06559475390246526,0.0,1,41,54,27.994987,0.95135,0.06217579678670111,1.071033,33.441799,0.06482851698122899,0.971339,28.9549,0.06559475390246526,0.95135,27.994987
3,3e-05,0.09667610612333384,0.0,1,41,54,27.994987,0.95135,0.09189676540386613,1.071033,33.441799,0.09560173020787535,0.971339,28.9549,0.09667610612333384,0.95135,27.994987
4,6e-05,0.12666680665443386,0.0,1,41,54,27.994987,0.95135,0.12074215324237479,1.071033,33.441799,0.12533028849667782,0.971339,28.9549,0.12666680665443386,0.95135,27.994987
5,0.0,0.15560512671060625,0.017667,1,41,54,27.994987,0.95135,0.148737754942699,1.071033,33.441799,0.15404965463571557,0.971339,28.9549,0.15560512671060625,0.95135,27.994987
6,0.00268,0.1835279945610945,0.003579,1,41,54,27.994987,0.95135,0.17590860523429677,1.071033,33.441799,0.1817940875616395,0.971339,28.9549,0.1835279945610945,0.95135,27.994987
7,0.08837,0.21047104265380925,0.004866,1,41,54,27.994987,0.95135,0.20227900132261764,1.071033,33.441799,0.20859668322668742,0.971339,28.9549,0.21047104265380925,0.95135,27.994987
8,0.12235,0.23646865308599316,0.006349,1,41,54,27.994987,0.95135,0.2278725246165859,1.071033,33.441799,0.23448941407838939,0.971339,28.9549,0.23646865308599316,0.95135,27.994987
9,0.21098,0.26155400147930824,0.009929,1,41,54,27.994987,0.95135,0.2527120618159908,1.071033,33.441799,0.25950316719906036,0.971339,28.9549,0.26155400147930824,0.95135,27.994987
10,0.25813,0.28575909931533794,0.015714,1,41,54,27.994987,0.95135,0.27681982537764305,1.071033,33.441799,0.283667781150576,0.971339,28.9549,0.28575909931533794,0.95135,27.994987
