epoch,observed_map50,fit_at_trigger,mu_hat,phase,phase2_epoch,trigger_epoch,tau_hat_at_trigger,a_hat_at_trigger,fit_at_epoch_7,a_hat_at_epoch_7,tau_hat_at_epoch_7,fit_at_epoch_9,a_hat_at_epoch_9,tau_hat_at_epoch_9,fit_at_epoch_10,a_hat_at_epoch_10,tau_hat_at_epoch_10
1,0.18964,0.20481143358327203,0.0,1,10,10,4.23978,0.974783,0.17195706348004927,1.595157,8.766981,0.1921801420453411,1.101442,5.215331,0.20481143358327203,0.974783,4.23978
2,0.33234,0.36658998361560496,0.0,1,10,10,4.23978,0.974783,0.32537724834521514,1.595157,8.766981,0.35082859835819025,1.101442,5.215331,0.36658998361560496,0.974783,4.23978
3,0.42557,0.49437727943531296,0.0,1,10,10,4.23978,0.974783,0.4622588201033449,1.595157,8.766981,0.4817959939620074,1.101442,5.215331,0.49437727943531296,0.974783,4.23978
4,0.48167,0.5953152157046758,0.0,1,10,10,4.23978,0.974783,0.5843846323192718,1.595157,8.766981,0.5899121339477804,1.101442,5.215331,0.5953152157046758,0.974783,4.23978
5,0.83247,0.6750451052290041,0.036782,1,10,10,4.23978,0.974783,0.6933453479059851,1.595157,8.766981,0.6791641166380625,1.101442,5.215331,0.6750451052290041,0.974783,4.23978
6,0.82985,0.7380229658680176,0.051288,1,10,10,4.23978,0.974783,0.7905601571731472,1.595157,8.766981,0.7528433694785236,1.101442,5.215331,0.7380229658680176,0.974783,4.23978
7,0.81364,0.7877685625862573,0.192491,1,10,10,4.23978,0.974783,0.8772952624811667,1.595157,8.766981,0.8136670300348023,1.101442,5.215331,0.7877685625862573,0.974783,4.23978
8,0.84741,0.8270621233351395,0.287196,1,10,10,4.23978,0.974783,0.9546803702595388,1.595157,8.766981,0.8638781483733127,1.101442,5.215331,0.8270621233351395,0.974783,4.23978
9,0.85018,0.8580997230059461,0.821948,1,10,10,4.23978,0.974783,1.0237234051945128,1.595157,8.766981,0.9053284060813491,1.101442,5.215331,0.8580997230059461,0.974783,4.23978
10,0.78391,0.8826160196959234,0.905449,1,10,10,4.23978,0.974783,1.0853236382352731,1.595157,8.766981,0.9395464024318684,1.101442,5.215331,0.8826160196959234,0.974783,4.23978
11,0.87219,0.901981202885535,0.93107,3,10,10,4.23978,0.974783,1.1402833994081383,1.595157,8.766981,0.9677940259446444,1.101442,5.215331,0.901981202885535,0.974783,4.23978
12,0.88553,0.9172775718563234,0.948848,3,10,10,4.23978,0.974783,1.189318527995715,1.595157,8.766981,0.9911129902096989,1.101442,5.215331,0.9172775718563234,0.974783,4.23978
13,0.84623,0.9293600242348797,0.965951,3,10,10,4.23978,0.974783,1.2330676961923797,1.595157,8.766981,1.0103632501173672,1.101442,5.215331,0.9293600242348797,0.974783,4.23978
14,0.86137,0.9389038353026481,0.976184,3,10,10,4.23978,0.974783,1.2721007276747314,1.595157,8.766981,1.0262547152056392,1.101442,5.215331,0.9389038353026481,0.974783,4.23978
15,0.86177,0.9464423984058568,0.983239,3,10,10,4.23978,0.974783,1.3069260194346424,1.595157,8.766981,1.0393734296470567,1.101442,5.215331,0.9464423984058568,0.974783,4.23978
16,0.84862,0.9523970357365332,0.988471,3,10,10,4.23978,0.974783,1.3379971635427108,1.595157,8.766981,1.0502031843386155,1.101442,5.215331,0.9523970357365332,0.974783,4.23978
17,0.78276,0.9571005455771281,0.992996,3,10,10,4.23978,0.974783,1.3657188550891888,1.595157,8.766981,1.059143358103589,1.101442,5.215331,0.9571005455771281,0.974783,4.23978
18,0.85607,0.9608158020389449,0.994984,3,10,10,4.23978,0.974783,1.3904521632520674,1.595157,8.766981,1.0665236459516803,1.101442,5.215331,0.9608158020389449,0.974783,4.23978
19,0.85709,0.9637504468137769,0.996394,3,10,10,4.23978,0.974783,1.412519234146868,1.595157,8.766981,1.0726162175450964,1.101442,5.215331,0.9637504468137769,0.974783,4.23978
20,0.85984,0.9660684940449596,0.99739,3,10,10,4.23978,0.974783,1.4322074867117638,1.595157,8.766981,1.0776457542494817,1.101442,5.215331,0.9660684940449596,0.974783,4.23978
21,0.86365,0.9678994969016178,0.998096,3,10,10,4.23978,0.974783,1.4497733562785515,1.595157,8.766981,1.0817977349152639,1.101442,5.215331,0.9678994969016178,0.974783,4.23978
22,0.86374,0.9693457881660885,0.998611,3,10,10,4.23978,0.974783,1.4654456345886928,1.595157,8.766981,1.0852252759517969,1.101442,5.215331,0.9693457881660885,0.974783,4.23978
23,0.89043,0.9704881995031752,0.998939,3,10,10,4.23978,0.974783,1.479428449757429,1.595157,8.766981,1.0880547779420005,1.101442,5.215331,0.9704881995031752,0.974783,4.23978
24,0.88994,0.9713905790550434,0.999192,3,10,10,4.23978,0.974783,1.4919039249993744,1.595157,8.766981,1.0903905870329003,1.101442,5.215331,0.9713905790550434,0.974783,4.23978
25,0.92304,0.9721033598452854,0.999352,3,10,10,4.23978,0.974783,1.5030345507449236,1.595157,8.766981,1.092318843004453,1.101442,5.215331,0.9721033598452854,0.974783,4.23978
26,0.91599,0.9726663784264203,0.999488,3,10,10,4.23978,0.974783,1.5129653010437925,1.595157,8.766981,1.0939106559254295,1.101442,5.215331,0.9726663784264203,0.974783,4.23978
27,0.91194,0.9731111013020123,0.999599,3,10,10,4.23978,0.974783,1.5218255218213996,1.595157,8.766981,1.095224728544817,1.101442,5.215331,0.9731111013020123,0.974783,4.23978
28,0.90968,0.9734623835557455,0.999688,3,10,10,4.23978,0.974783,1.529730615582229,1.595157,8.766981,1.0963095211270786,1.101442,5.215331,0.9734623835557455,0.974783,4.23978
29,0.8944,0.9737398579753459,0.999763,3,10,10,4.23978,0.974783,1.5367835445030795,1.595157,8.766981,1.0972050385658931,1.101442,5.215331,0.9737398579753459,0.974783,4.23978
30,0.88903,0.9739590323079926,0.999821,3,10,10,4.23978,0.974783,1.5430761714936727,1.595157,8.766981,1.0979443056814084,1.101442,5.215331,0.9739590323079926,0.974783,4.23978
31,0.89701,0.9741321559716453,0.999864,3,10,10,4.23978,0.974783,1.548690456691654,1.595157,8.766981,1.0985545851069052,1.101442,5.215331,0.9741321559716453,0.974783,4.23978
32,0.90747,0.9742689046618527,0.999895,3,10,10,4.23978,0.974783,1.5536995249760746,1.595157,8.766981,1.0990583826779974,1.101442,5.215331,0.9742689046618527,0.974783,4.23978
